HT	IQ
0.207506304	0.214047908241852
0.384511744	0.332436296608108
0.545526828	0.425219043928726
0.702621996	0.517525343380678
0.85403934	0.598690204235583
1.0049463	0.67895568706466
1.1367657	0.758471007297154
1.263986754	0.82299172686889
1.386173004	0.886975052597532
1.506786412	0.950368993893165
1.622772766	1.00164850165722
1.738429966	1.05238511548754
1.849887598	1.10308330963261
1.95759762	1.15300522488511
2.05914918	1.20291881438962
2.16066918	1.25178994442039
2.261699052	1.2983113733949
2.360637192	1.34465934226239
2.457342816	1.39063659089053
2.553921592	1.43557026226544
2.646177992	1.47980444486869
2.7366162	1.52189313280801
2.82597108	1.56371776361541
2.91412428	1.60451765313685
3.002192436	1.6449134006441
3.088642072	1.68513734191349
3.174542872	1.72474315558435
3.260392252	1.76320466771381
3.345247132	1.8009204328486
3.429846812	1.83826226286356
3.513519164	1.87388978441976
3.59716022	1.90877610844611
3.680410316	1.9436402762317
3.763405772	1.97746623258383
3.84624184	2.01056853034812
3.928700524	2.04354493717715
4.010872146	2.07637633660922
4.092439866	2.10897107398506
4.173816216	2.1412456293179
4.253004856	2.17289080443844
4.332134496	2.20429581703975
4.410108896	2.23439771350096
4.487633648	2.26418861338955
4.564909152	2.2938128037722
4.641648192	2.32312788974355
4.718260192	2.35224479090009
4.794700072	2.38104584852437
4.870049588	2.40969891472647
4.944446924	2.438271749231
5.018843724	2.46675243780531
5.093018824	2.49506408524509
5.167064488	2.5232079611764
5.240814448	2.55121882634428
5.314494064	2.57920634135236
5.386987538	2.60707144235011
5.459261138	2.6347411116426
5.530994738	2.66231785263284
5.602634054	2.68971588200126
5.674128664	2.71708946574156
5.745065656	2.74414508378827
5.815967656	2.77115502875652
5.886176964	2.79801283762298
5.956386264	2.82462856938914
6.026231546	2.85074052231011
6.095575466	2.87667546003023
6.164902586	2.90255126625345
6.231953086	2.92841207618355
6.298776034	2.95398996730704
6.365545154	2.97934138706219
6.432296834	3.004581745219
6.498783854	3.02958510038596
6.564890654	3.05435410918273
6.630944488	3.07858730233952
6.696913678	3.10247289363493
6.762666958	3.12627379255175
6.828378478	3.14964534999933
6.894036546	3.17273645018872
6.959592546	3.19573424674497
7.024981202	3.21863166552939
7.090136648	3.241474560413
7.155049048	3.26419945478412
7.219896628	3.28645464482172
7.284572628	3.30852646589966
7.349111088	3.33028542600647
7.4134401	3.3519239254399
7.4776548	3.3735473687453
7.541605536	3.39514886622267
7.605534376	3.41665919591549
7.668788896	3.43797717195407
7.731509936	3.45926467183456
7.794173456	3.48053658182248
7.856700896	3.50177076383318
7.919165576	3.52287978022746
7.981554236	3.54393359579368
8.043925916	3.56492183386855
8.105872566	3.58572447531532
8.167439536	3.60597672612279
8.228934646	3.62620485466026
8.290369892	3.64632297057499
8.351381612	3.6662623924596
8.411902748	3.68615069868834
8.472346208	3.70597391424441
8.532676128	3.72572801755952
8.592489248	3.745350576368
8.65215035	3.76492454104413
8.71170727	3.78445000571507
8.770800766	3.80395537340742
8.829770078	3.82333824622684
8.888681798	3.84259840315323
8.947321478	3.86172311764335
9.005778854	3.8808333776739
9.064189454	3.89986690232166
9.122587486	3.91870455525911
9.180700706	3.93751092120653
9.238697106	3.95625735867362
9.296535506	3.974967601427
9.353842418	3.99364536212502
9.411116778	4.01228662035287
9.468389898	4.03068054954117
9.525186138	4.04895910417142
9.581524638	4.06718677112184
9.637511838	4.08539779524308
9.693474558	4.10319120197307
9.749344502	4.12057841188388
9.804763766	4.13792152518728
9.859690066	4.1552202028998
9.914571366	4.17234924412966
9.969327546	4.18933000559645
10.023776594	4.20626361089501
10.078188614	4.22299718061548
10.132456814	4.23967703856934
10.186597214	4.25628475417462
10.240498094	4.27287012943178
10.294090832	4.28933064357406
10.347527472	4.30575027975295
10.400918692	4.32194529079812
10.454165572	4.33812641100102
10.50722896	4.35409654165914
10.55992656	4.37002769836115
10.612531684	4.38592539505732
10.66493528	4.40174110983606
10.71732634	4.41750244513971
10.769693956	4.43326334472605
10.821772196	4.44901306113549
10.873665128	4.46475053315814
10.925417108	4.48048076872438
10.977118628	4.49620935096829
11.02881092	4.51184920546776
11.08048096	4.52743974190744
11.13213848	4.54269269055177
11.18369516	4.55781561811965
11.23507176	4.57292267969155
11.28635148	4.58793204928197
11.33753646	4.60291827198687
11.38871346	4.61779423489234
11.43949934	4.63221367034539
11.49016862	4.64658391093687
11.539502864	4.66084801327992
11.588526224	4.67499795634068
11.637161992	4.689106172523
11.685761236	4.70300788408239
11.734253566	4.71678975512095
11.782739164	4.7304341978089
11.831163364	4.74403810642865
11.87957022	4.75738917308632
11.92782968	4.77051931609978
11.976021964	4.78349673678285
12.024192284	4.79644467518847
12.072353224	4.80934716351443
12.120099424	4.82222432559762
12.167737216	4.83508164162611
12.215095296	4.84793056038337
12.262438356	4.86076593509675
12.309758236	4.8733365981509
12.356928796	4.88581772234273
12.403747336	4.89816628655178
12.450398416	4.9104234688175
12.497025888	4.9226702958112
12.543445248	4.93471804555228
12.589841478	4.94667670631857
12.636202278	4.95851330236241
12.682523094	4.9702300297924
12.728842134	4.98174351918035
12.775106994	4.99316033180147
12.821251794	5.00454317009205
12.867197154	5.01591081087956
12.913006662	5.02727535392921
12.958756542	5.03854132980513
13.004427362	5.04960672789898
13.050052732	5.06051714731438
13.095662412	5.07139357404662
13.141048544	5.08213851666835
13.186431608	5.09279351745254
13.231769208	5.10336926068636
13.277050808	5.11391677025886
13.322315048	5.12435720499262
13.367571688	5.13472508926915
13.412693768	5.14493198160357
13.457708488	5.15499815286454
13.502651848	5.16499286678116
13.547535048	5.1749573263436
13.592183756	5.18487905444057
13.636677436	5.19476844054587
13.681163436	5.20452865544816
13.725617526	5.21418010802226
13.769983286	5.22378168306492
13.814345526	5.23326645095255
13.858655206	5.24261157114184
13.902865606	5.25189362329419
13.947030726	5.26036420835671
13.991158986	5.26880227277239
14.035196266	5.27718480755979
14.079210046	5.28549799687648
14.123181446	5.29373628291879
14.167112606	5.30185848758825
14.211015006	5.30987917409516
14.254897506	5.31786510225215
14.298773758	5.3257996407272
14.342606638	5.33366767316955
14.386342518	5.34101890380462
14.430055318	5.34830423164823
14.473695318	5.35556270605401
14.517286278	5.36277135170037
14.5608691	5.36988482253411
14.60416614	5.37685337131101
14.64739878	5.3837429243827
14.690571028	5.39051083058686
14.733314404	5.39717289389511
14.776005514	5.4037633154282
14.818689214	5.41033080318471
14.861307634	5.416411700648
14.903865394	5.42234138670006
14.946416954	5.42826079175718
14.988718994	5.43386767102281
15.030946274	5.43933415843102
15.073128374	5.44470393467996
15.11527263	5.44920402267462
15.157392026	5.45295824980072
15.199463066	5.45651937862441
15.241435946	5.46003745352798
15.283386558	5.46318206350031
15.325119998	5.46547560152392
15.366834878	NA
15.408513698	NA
15.449996498	NA
15.491349458	NA
15.532681418	NA
15.573977712	NA
15.615252932	NA
15.656513332	NA
15.697762932	NA
15.738901092	NA
15.779992772	NA
15.821075572	NA
15.861947992	NA
15.902744932	NA
15.943441608	NA
15.984134408	NA
16.024711008	NA
16.065215584	NA
16.105687386	NA
16.145907786	NA
16.186128026	NA
16.226346026	NA
16.266547466	NA
16.306716666	NA
16.346860506	NA
16.386935706	NA
16.426894926	NA
16.466533666	NA
16.506153466	NA
16.545702766	NA
16.585241626	NA
16.624380726	NA
16.663486646	NA
16.702581666	NA
16.741604146	NA
16.780388306	NA
16.819129226	NA
16.857606026	NA
16.895976386	NA
16.934088686	NA
16.972186286	NA
17.010206606	NA
17.048144406	NA
17.086049926	NA
17.123868366	NA
17.161637966	NA
17.199308676	NA
17.236714776	NA
17.274111576	NA
17.311400856	NA
17.348669676	NA
17.385900216	NA
17.42310876	NA
17.46020836	NA
