BMI	WHR	FG	LDL	TG	SBP	DBP
0.20772396	0.12317956	0.171111351385148	0.9541653404544	0.46330442572	0.123619536684528	0.137804855577253
0.30322608	0.2245146	0.321492402936937	1.8074052328	0.786859960576	0.247055151363403	0.262860638728707
0.380164824	0.28100276	0.44428079058384	2.446118837186	0.999772658494	0.369399761261806	0.369559124473128
0.45460822	0.33639412	0.529598451588494	2.827591226792	1.20399646993	0.491288672405479	0.47521796007363
0.52140988	0.38664012	0.6139655040452	3.170610438364	1.403806491682	0.603289195571445	0.564154889485864
0.58773364	0.43379736	0.697674164006456	3.402086247724	1.5874019733457	0.714337682611634	0.651496210157909
0.65297824	0.48070104	0.765790233414657	3.6266497481008	1.70002402131376	0.819321774979921	0.734954064209073
0.71796148	0.5275356	0.831716857734737	3.8314354477424	1.8117879642829	0.923717960158202	0.816385968393588
0.77833652	0.57361002	0.895940580319613	4.0234567263152	1.9224729133303	1.01804333215846	0.894503459673865
0.838416024	0.61930152	0.959672683838501	4.2098836785924	2.03273011793542	1.10815255488133	0.970649706434083
0.898246344	0.66473624	1.02313867497211	4.36438627837314	2.13608156106622	1.19783414804882	1.04676182776287
0.957310304	0.70707304	1.0818668505052	4.51504632084906	2.23395700761972	1.28666173412814	1.11836959024281
1.015851104	0.74688664	1.13277552750201	4.64033715130064	2.32962144122592	1.37429812667964	1.18750417281815
1.071961344	0.78669758	1.17979693338857	4.75386804287696	2.42471270399712	1.46127523269732	1.25656648086942
1.126028144	0.8253793	1.22295789693396	4.86703667386032	2.51857980622944	1.54813805563631	1.32554047207989
1.178993684	0.8636913	1.26560258794987	4.97829274895048	2.60513220629344	1.63482930228567	1.39383852745167
1.228890644	0.90180828	1.30637869145392	5.08916974980232	2.67896135559376	1.71883291314299	1.45930085665276
1.276810362	0.93939804	1.34470866380885	5.1991837118746	2.750889282646	1.79770566269146	1.5223560870626
1.324657262	0.97690494	1.38017629654285	5.3079091927498	2.8219353509596	1.87606243369085	1.58519899225256
1.369732382	1.01411414	1.41461500972725	5.41489180436794	2.8886306339356	1.95405427347618	1.64707256886123
1.41416135	1.04944994	1.448647665866	5.52143627795986	2.94832464534056	2.03148939537211	1.70805247592289
1.45824819	1.0843829	1.47858784706607	5.62763193255174	3.00785328600356	2.10835821888751	1.76849298811768
1.501660482	1.11791102	1.50689183590271	5.72606477529266	3.0668412112325	2.18472231097563	1.82746371087925
1.544520122	1.15016106	1.53377426252864	5.80695163081598	3.12538812440992	2.26061037914481	1.88599063483464
1.586888882	1.18039154	1.55818119137982	5.88739936543038	3.18235230130768	2.33572533798669	1.94276712599501
1.629103082	1.21030974	1.58193552855049	5.9640468316083	3.2368525495816	2.41082025392578	1.9992851310288
1.671100362	1.2395902	1.60125369249741	6.03995850964446	3.28926223796998	2.48543018151084	2.05528926612137
1.713093012	1.26856228	1.61658959698946	6.11502247036566	3.34107007985054	2.55886465310589	2.1112137502891
1.754863412	1.29714628	1.63103652659228	6.1891435348559	3.39091685275164	2.62981591761617	2.16634357538253
1.796408852	1.32569418	1.64532828439551	6.2618295528623	3.4407142847942	2.70067885187211	2.22079746089954
1.835531852	1.35406338	1.65896164970329	6.33331160690658	3.488054186843	2.77152231828897	2.27518063239276
1.872955392	1.38191246	1.67069524811891	6.40305100068486	3.5347807174634	2.84213093149753	2.32834319364351
1.909699438	1.40862446	1.68208406059667	6.47180503322366	3.5796483707282	2.91240052883768	2.38087134892068
1.946431878	1.43505212	1.69231343518871	6.53856084000728	3.6239014244756	2.98080694083894	2.43300397063768
1.982752638	1.46107148	1.70192103492959	6.60202417173688	3.6679654571918	3.04411230114755	2.48425109908163
2.018849342	1.4866286	1.7098173942638	6.66202463306846	3.711665248523	3.106877013728	2.53548901029514
2.054473742	1.5120716	NA	6.72162057881422	3.7553631495388	3.16917494205878	2.58668969376528
2.089634302	1.5374354	NA	6.77933717108994	3.7980813588936	3.2288958061143	2.63740087726274
2.124679802	1.56268128	NA	6.8358722137503	3.83852234284236	3.28708811217853	2.68806763415802
2.159651242	1.58725188	NA	6.8921768617691	3.87870805693836	3.34325533431574	2.73828853836711
2.194119082	1.61134608	NA	6.9483119551499	3.91888489267516	3.3990302388545	2.78802996718261
2.227481562	1.63506142	NA	7.0040844135377	3.95849824264996	3.45278991167792	2.83748258570667
2.260610922	1.65858646	NA	7.05917121607622	3.99752758397396	3.50426386436702	2.88660277094803
2.293301262	1.68175338	NA	7.11348359701848	4.03520297895176	3.55560756688259	2.93540125578471
2.325766782	1.70485298	NA	7.16771086557862	4.07254732571516	3.60681771641475	2.98392390210538
2.357964222	1.72758498	NA	7.22017683437742	4.109785926439	3.65794704080101	3.03163820367079
2.390120682	1.75022908	NA	7.27235036584722	4.14673323254748	3.70858511320651	3.07864720022144
2.422216042	1.77283408	NA	7.32216121273962	4.18286201515368	3.75891387863579	3.12505543219452
2.454217442	1.7952631	NA	7.37197039137182	4.21893335489834	3.80873430648471	3.17045427651607
2.486163842	1.81722218	NA	7.42129318929082	4.25496662210634	3.85726501751792	3.21518134321826
2.517929042	1.83879986	NA	7.47031560949982	4.29094146309834	3.9057197967172	3.25960021578591
2.549073222	1.86028366	NA	7.51919757923282	4.32561611572514	3.95416827012624	3.30398802785684
2.579967722	1.88173472	NA	7.56791064026764	4.36019038337834	4.00091880995641	3.34819333614868
2.609982082	1.90293684	NA	7.6162943178601	4.39454080759834	4.04719966210934	3.39225210505369
2.639693842	1.92409782	NA	7.66333024829148	4.4286107003957	4.09312216524383	3.43598402109979
2.668728462	1.94449766	NA	7.70975940564954	4.4622683212619	4.13860967074595	3.47958037172034
2.697531702	1.96483226	NA	7.75563578957946	4.49587468759564	4.18351941524323	3.52302978862405
2.726297302	1.9849385	NA	7.80128267965266	4.52924894018384	4.22832186995187	3.5660784671852
2.755059622	2.00503366	NA	7.84615549710966	4.56210577823024	4.27262402625999	3.60874853286831
2.783606602	2.02491796	NA	7.88982389941686	4.59427476472304	4.31684515831666	3.64970196787461
2.811580762	2.04444544	NA	7.93304070653486	4.62638141266256	4.36088630597296	3.69047444838894
2.839419322	2.0638595	NA	7.97623728868126	4.65837591613762	4.40458605435015	3.73121169149859
2.867046842	2.0830463	NA	8.01931471695646	4.69035976148162	4.44778163230926	3.77150918375849
2.894583082	2.1021038	NA	8.06180286363286	4.72232514335858	4.49095258091041	3.81115995984674
2.921917642	2.12112258	NA	8.10317128720486	4.75411069148018	4.53310957624099	3.85068961868637
2.949016282	2.139944	NA	8.14449272530358	4.78580893205918	4.5745259691552	3.89017483971064
2.976100342	2.1586	NA	8.18551510120358	4.81741047060318	4.61499237555972	3.92949269287419
3.003089962	2.1772412	NA	8.22536521298458	4.84831414505754	4.65508064185298	3.9687241260925
3.029923642	2.195878	NA	8.26331803371458	4.87889026880634	4.69510395522723	4.0076833706835
3.056614042	2.21449504	NA	8.30105831098838	4.90843405440774	4.73490520382628	4.04647487177238
3.083287882	2.23304944	NA	8.3386546424556	4.93719264559494	4.77466638301668	4.08467182972737
3.109847822	2.25147532	NA	8.37610180090976	4.96582693704274	4.81323262315227	4.12274360005094
3.136268222	2.26983652	NA	8.41325485074076	4.99437741589834	4.8516484484058	4.16062306814872
3.162571382	2.28806872	NA	8.45009321049956	5.02242343210534	4.88989115722962	4.19791254566194
3.188739602	2.30610558	NA	8.48678895227556	5.05006925305494	4.92802434979613	4.23517860071995
3.214867922	2.32399808	NA	8.52320949274176	5.07768972186294	4.96609582080978	4.27222042590318
3.240866362	2.34188544	NA	8.55934643629356	5.10522617111094	5.00415594397763	4.30911638822785
3.266649322	2.35955808	NA	8.59533160753338	5.13220694871094	5.042044637257	4.34580143258618
3.292338482	2.37711896	NA	8.63111116427904	5.15850198541494	5.07989273291237	4.38226104352221
3.318013062	2.39452904	NA	8.66635318882824	5.18462822617354	5.11772965288969	4.41871962284607
3.343671622	2.41184858	NA	8.6999054421852	5.21071789489034	5.15541664403676	4.45505663639428
3.369243382	2.42915482	NA	8.7333424745678	5.23667329366874	5.19286003304292	4.49137888966552
3.394677682	2.44643026	NA	8.7667183640791	5.26241234083194	5.23027795996139	4.52706891045042
3.419809462	2.46368026	NA	8.8000026059399	5.28750659174234	5.26766246525453	4.56256945099208
3.444890362	2.48090642	NA	8.8331201423111	5.31244874545754	5.30492825678464	4.59758091018629
3.469885162	2.49810672	NA	8.8657682316843	5.33730283608794	5.34196063218013	4.63223521665194
3.494815662	2.51522642	NA	8.8982628491459	5.36204957233734	5.37856194637731	4.66651339769572
3.519712162	2.53228392	NA	8.9303019582755	5.38675803129814	5.41511178827321	4.70061036260676
3.544608382	2.54932872	NA	8.9618938004051	5.41130645978614	5.45149074840652	4.73453216649995
3.569396782	2.56628772	NA	8.9934458070963	5.43569919846214	5.48775734390179	4.76840360454556
3.593957422	2.5829872	NA	9.02417176174474	5.46006038718414	5.52402087317141	4.80192911798922
3.618451822	2.59958336	NA	9.05478807059962	5.48439929337414	5.55996781874214	4.83527963113722
3.642931822	2.61616216	NA	9.08525475284482	5.50864347968054	5.59589937345297	4.86841800408272
3.667406862	2.63268056	NA	9.11554686689442	5.53257356442314	5.63162563861777	4.90148003025251
3.691872462	2.64919004	NA	9.14493445175182	5.55643713212414	5.66719620908949	4.93445820242543
3.716318702	2.66566162	NA	9.17425160855762	5.58007034173214	5.70229652384751	4.9668923692474
3.740680182	2.68204522	NA	9.20322897570662	5.60288180197574	5.73725233715865	4.99920787450622
3.764985482	2.69832634	NA	9.23215393079722	5.62558875819474	5.77210459918086	5.03148461207887
3.789243982	2.7145834	NA	9.26078255425802	5.64817548591774	5.80675167003861	5.06368344050666
3.813313982	2.7306726	NA	9.28910250806102	5.67063116150574	5.84134152030039	5.09583932434031
3.837230222	2.74633092	NA	9.31681122592982	5.69271418990674	5.87591772363275	5.12792350925958
3.861111502	2.76183102	NA	9.34445152749782	5.71477651329634	5.91048828173682	5.15983292188443
3.884862782	2.7770143	NA	9.37205421395222	5.73672245539234	5.94481009140683	5.19168383537157
3.908486382	2.79217858	NA	9.39932124733622	5.75820076904914	5.97879006962154	5.22351138807598
3.932086462	2.8072818	NA	9.42654468898142	5.77954177070194	6.01271506893467	5.25517348102839
3.955608142	2.82226636	NA	9.45301473071102	5.80078671636694	6.0460981286759	5.28672841900481
3.978944942	2.83720056	NA	9.47946285240902	5.82196507876694	6.07943777403504	5.31810490302744
4.002119702	2.85205276	NA	9.50577276422022	5.84302062322994	6.1124609750692	5.34935747211411
4.025277782	2.86685524	NA	9.53206234004102	5.86342907714474	6.1440908189868	5.38046734045777
4.048072082	2.88159888	NA	9.55804751881862	5.88364311642114	6.17551547056874	5.4115760949593
4.070844842	2.89630952	NA	9.58400213278822	5.90369924817834	6.20690496010851	5.44266812314039
4.093502542	2.91099206	NA	9.60938596172022	5.92362899470554	6.23822166953828	5.47372484103116
4.116134542	2.92562866	NA	9.63471589689302	5.94335427000954	6.26952774321744	5.50475072642643
4.138751642	2.9401623	NA	9.65991659595462	5.96307797452154	6.30076407490323	5.53559592270823
4.161366202	2.9545193	NA	9.68510902280102	5.98240502500194	6.3316222325127	5.56638951221767
4.183953962	2.9688185	NA	9.71029107150542	6.00164179789674	6.36248009029261	5.59688770369492
4.206536402	2.9830275	NA	9.73524584985302	6.02061307113174	6.39333260501622	5.62729956867007
4.229088162	2.9971694	NA	9.75994040875862	6.03949362967674	6.42417186633669	5.65755060306594
4.251610122	3.01125104	NA	9.78457561076862	6.05837049258414	6.45486713451506	5.6877480478262
4.274070762	3.0252184	NA	9.80911950026742	6.07724599119894	6.48543922545218	5.71789535847784
4.296458442	3.03915652	NA	9.83342701882982	6.09609032431974	6.51598809365357	5.74793879774511
4.318677642	3.05304076	NA	9.85758723966902	6.11480189354374	6.5465008569894	5.77787092381705
4.340842922	3.06688468	NA	9.88168425618822	6.13348958050674	6.57697430986012	5.80778802984012
