T2D	CAD	SCZ	MDD	AD
6.57290305465058e-06	5.54475695664253e-06	8.25855348831155e-06	0.0279663404965307	NA
5.57887573889178e-06	4.76043425361856e-06	7.23620477448703e-06	0.0271382864791933	NA
4.73416016996174e-06	4.08662496234452e-06	6.36748942780151e-06	0.0263487187739925	NA
4.01639772646565e-06	3.50774349099168e-06	5.60952480618121e-06	0.0255960196454989	NA
3.41136194189971e-06	3.01433688945575e-06	4.94982890869788e-06	0.0248810563611989	NA
2.90049613174603e-06	2.5930705553635e-06	4.37558224908158e-06	0.0241866541449001	NA
2.46616805375624e-06	2.23089478816594e-06	3.86704690321532e-06	0.023511923057321	NA
2.09547812293442e-06	1.91827658396623e-06	3.41539718947764e-06	0.0228610333086653	NA
1.77959873523489e-06	1.64882223513963e-06	3.01987036410901e-06	0.0222279130016817	NA
1.50982170573202e-06	1.41601739878538e-06	2.66971592193332e-06	0.0216140498975556	NA
1.28063780256054e-06	1.2159144742601e-06	2.36059792849058e-06	0.0210266648060555	NA
1.08638843851327e-06	1.04430076254302e-06	2.08821164294487e-06	0.0204577452859971	NA
9.23288972811076e-07	8.98494367732966e-07	1.84851541019431e-06	0.0199061293339143	NA
7.87028879570714e-07	7.75244689998308e-07	1.63605798559288e-06	0.0193684309901544	NA
6.71551017446189e-07	6.69568119076189e-07	1.44927298511124e-06	0.018844412612424	NA
5.72696736210439e-07	5.78038090535777e-07	1.28347546763395e-06	0.0183352781226914	NA
4.89984498347101e-07	5.00552939519435e-07	1.14079251995952e-06	0.0178389552588533	NA
4.21612560814863e-07	4.35764817686068e-07	1.01525175115403e-06	0.0173597597752841	NA
3.65417233822283e-07	3.8192476201597e-07	9.05285046115534e-07	0.0169070265686141	NA
3.16639892555763e-07	3.34683993177715e-07	8.08700030644525e-07	0.0164766309149155	NA
2.75887281107953e-07	2.94791627267078e-07	7.24831119775288e-07	0.0160561234919058	NA
2.40287295916143e-07	2.59574486149661e-07	6.5307568122385e-07	0.0156459280404296	NA
2.09290454374025e-07	2.28584592281464e-07	5.88892722555064e-07	0.0152449248662416	NA
1.82603047874656e-07	2.01619528643993e-07	5.31067404210765e-07	0.0148599933155103	NA
1.59337673835742e-07	1.7786276461856e-07	4.78959306136397e-07	0.0144837678005178	NA
1.39260384037929e-07	1.57144311584081e-07	4.3290534240637e-07	0.0141249748860578	NA
1.21779778343827e-07	1.38915149413245e-07	3.92531932412637e-07	0.0137739332669713	NA
1.06693905456473e-07	1.2301804672751e-07	3.56196956574116e-07	0.0134430988451194	NA
9.35275864192182e-08	1.08998759615753e-07	3.23602516420387e-07	0.0131210329036586	NA
8.19538743682024e-08	9.65460577096001e-08	2.93931012413198e-07	0.0128084659812466	NA
7.18917711010103e-08	8.56060876029033e-08	2.67759442590099e-07	0.0125040443908192	NA
6.32572361890878e-08	7.61208069191296e-08	2.44723821674846e-07	0.0122318783668703	NA
5.56706865781185e-08	6.77010757440775e-08	2.24034520763793e-07	0.0119691213242558	NA
4.93684979771093e-08	6.06367101597672e-08	2.05186300101423e-07	0.0117120999676403	NA
4.39117435551232e-08	5.44612410727775e-08	1.87899787531599e-07	0.0114631662690351	NA
3.91328651162611e-08	4.90018786156063e-08	1.7216196591288e-07	0.0112219581993492	NA
3.49317191390815e-08	4.41577654254289e-08	1.57770861208255e-07	0.0109853783314984	NA
3.11923428333332e-08	3.98061275699922e-08	1.44570281914542e-07	0.0107542041733657	NA
2.80453112646094e-08	3.61108253015308e-08	1.32473195577097e-07	0.0105289319581349	NA
2.52775353006796e-08	3.28327576048718e-08	1.21696479747101e-07	0.0103079781718736	NA
2.28133002679781e-08	2.98893562274929e-08	1.1192703747657e-07	0.0100948801947326	NA
2.05883918354591e-08	2.7209287620951e-08	1.03209179040292e-07	0.00989045088798895	NA
1.86402525138544e-08	2.48429598964649e-08	9.53778949079953e-08	0.0097041045722443	NA
1.68721913220493e-08	2.26776135343286e-08	8.81628709311637e-08	0.00952653618088962	NA
1.52999303890848e-08	2.07362295669111e-08	8.19428301979708e-08	0.00935374180693903	NA
1.38891175605337e-08	1.89800513949822e-08	7.61530106566602e-08	0.00918444613089348	NA
1.26068889791897e-08	1.73710093497625e-08	7.09331535909303e-08	0.00901906105689685	NA
1.14437762364451e-08	1.58995920874412e-08	6.60683151813294e-08	0.00886337811202022	NA
1.04715576417785e-08	1.46600666886167e-08	6.15882321459288e-08	0.00871591243555558	NA
9.59298258583695e-09	1.35316111345791e-08	5.75216753254268e-08	0.00857079500327123	NA
8.80195943045157e-09	1.25081627717397e-08	5.3719807514561e-08	0.0084279664854406	NA
8.09584326950483e-09	1.15880151813984e-08	5.03540117413758e-08	0.00829037560502336	NA
7.45003713806837e-09	1.07405154605122e-08	4.72070656034295e-08	0.00815978010713836	NA
6.8568520931571e-09	9.95658540583405e-09	4.42729295401915e-08	0.00803158500894192	NA
6.36122229297155e-09	9.29717718329826e-09	4.17959356634423e-08	0.0079108979755036	NA
5.92271025812196e-09	8.71012264355827e-09	3.95408956685817e-08	0.00779454951124183	NA
5.52201520614474e-09	8.1704599220827e-09	3.74218458341115e-08	0.00769913845346618	NA
5.15169842049841e-09	7.66874162686628e-09	3.54501746101427e-08	0.00761554283419759	NA
4.80655380436931e-09	7.19835345523614e-09	3.36129019325889e-08	0.0075328045191321	NA
4.48811884678901e-09	6.76180463900923e-09	3.19181100636727e-08	0.00746123630040205	NA
4.19091832851596e-09	6.35197207655051e-09	3.04116871440941e-08	0.00739692561909942	NA
3.92207016861795e-09	5.97908992810992e-09	2.90751200947854e-08	NA	NA
3.6705142112159e-09	5.62820233922983e-09	2.79233161692795e-08	NA	NA
3.44499597299843e-09	5.31187658386856e-09	2.71872741604568e-08	NA	NA
3.23810509455125e-09	5.02011029447572e-09	2.64834114612306e-08	NA	NA
3.04638045831704e-09	4.74829681463331e-09	2.59491702671704e-08	NA	NA
2.86958995194312e-09	4.49634696902389e-09	2.5433967282051e-08	NA	NA
2.7151915839336e-09	4.27521250489529e-09	NA	NA	NA
2.57300412222954e-09	4.0706045446966e-09	NA	NA	NA
2.45531841406013e-09	3.90051533311912e-09	NA	NA	NA
2.34558341743823e-09	3.7412803704812e-09	NA	NA	NA
2.25082961354556e-09	3.60326497319085e-09	NA	NA	NA
2.16305480085712e-09	3.47496486900506e-09	NA	NA	NA
2.08612130827231e-09	3.3621397556958e-09	NA	NA	NA
2.02932630064766e-09	3.27861679071113e-09	NA	NA	NA
